Product_Number,Product_Name,Georges_url,DigiDirect_url,Teds_url,CameraPro_url
P1,Sony A7 M3,https://www.georges.com.au/sony-a7-iii-mirrorless-digital-camera-body-only.html,https://www.digidirect.com.au/cameras/sony-alpha-a7-iii-mirrorless-digital-camera-body-only,https://www.teds.com.au/sony-a7-mark-3-body,https://www.camerapro.com.au/sony-a7-iii-mirrorless-camera-body-only.html
P2,Sony A7 R3,https://www.georges.com.au/sony-a7r-iii-mirrorless-digital-camera-body-only.html,https://www.digidirect.com.au/cameras/sony-alpha-a7r-iii-mirrorless-digital-camera-body-only,https://www.teds.com.au/sony-a7r-mark-3-body,https://www.camerapro.com.au/sony-alpha-a7r-mark-iii-mirrorless-camera.html
P3,Sony A7 R4,https://www.georges.com.au/sony-a7r-mark-iv-body.html,https://www.digidirect.com.au/cameras/sony-a7r-mark-iv-body,https://www.teds.com.au/sony-a7r-mark-iv-body,https://www.camerapro.com.au/sony-a7r-mark-iv-mirrorless-camera-body-only.html
P4,Sony A9 M1,https://www.georges.com.au/sony-a9-body.html,https://www.digidirect.com.au/cameras/sony-alpha-a9-mirrorless-digital-camera-body-only,https://www.teds.com.au/sony-a9-body,https://www.camerapro.com.au/sony-a9-mirrorless-camera.html
P5,Sony A9 M2,https://www.georges.com.au/sony-alpha-a9-ii-mirrorless-digital-camera-body-only.html,https://www.digidirect.com.au/sony-alpha-a9-ii-body-only,https://www.teds.com.au/sony-a9-mark-2-body,https://www.camerapro.com.au/sony-alpha-a9-mark-ii-camera-body.html
P6,Sony FE35 1.8,https://www.georges.com.au/lenses-digital-slr-cameras/shop-by-brand/sony-lenses-cheap-dslr-cameras/sony-fe-35mm-f-1-8-lens.html,https://www.digidirect.com.au/lenses/sony-fe-35mm-f1-8-lens,https://www.teds.com.au/sony-fe-35mm-f1-8,https://www.camerapro.com.au/sony-fe-35mm-f-1-8-lens.html
P7,Sony FE24 1.4,https://www.georges.com.au/lenses-digital-slr-cameras/shop-by-brand/sony-lenses-cheap-dslr-cameras/sony-fe-24mm-f-1-4-gm-lens.html,https://www.digidirect.com.au/lenses/sony-fe-24mm-f-1-4-gm-lens,https://www.teds.com.au/sony-fe-24mm-f-1-4-g-m,https://www.camerapro.com.au/sony-24mm-f-1-4gm-lens.html
P8,Sony FE135 1.8GM,https://www.georges.com.au/lenses-digital-slr-cameras/shop-by-brand/sony-lenses-cheap-dslr-cameras/sony-fe-135mm-f-1-8-gm-lens.html,https://www.digidirect.com.au/lenses/sony-fe-135mm-f-1-8-gm-lens,,https://www.camerapro.com.au/sony-fe-135mm-f-1-8-gm-lens.html
P9,Sony FE100-400GM,https://www.georges.com.au/lenses-digital-slr-cameras/shop-by-brand/sony-lenses-cheap-dslr-cameras/sony-fe-100-400mm-f-4-5-5-6-gm-oss-lens.html,https://www.digidirect.com.au/lenses/sony-fe-100-400mm-f-4-5-5-6-gm-oss-lens,https://www.teds.com.au/sony-fe-100-400mm-f4-5-5-6-gm-oss,https://www.camerapro.com.au/sony-fe-100-400mm-f-4-5-5-6-gm-oss-lens.html
P10,Sony FE400 2.8GM,https://www.georges.com.au/lenses-digital-slr-cameras/shop-by-brand/sony-lenses-cheap-dslr-cameras/sony-fe-400mm-f-2-8-gm-oss-lens.html,https://www.digidirect.com.au/lenses/sony-fe-400mm-f-2-8-gm-oss-lens,,https://www.camerapro.com.au/sony-fe-400mm-f-2-8-oss-gm-lens.html